PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
710,1,3,"Moubarek, Master. Halim Gonios (""William George"")",,1,1,2661,15.2458,147,True,False,False
440,0,2,"Kvillner, Mr. Johan Henrik Johannesson",31.0,0,0,C.A. 18723,10.5,147,True,False,True
841,0,3,"Alhomaki, Mr. Ilmari Rudolf",20.0,0,0,SOTON/O2 3101287,7.925,147,True,False,True
721,1,2,"Harper, Miss. Annie Jessie ""Nina""",6.0,0,1,248727,33.0,147,False,False,True
40,1,3,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,147,False,False,False
291,1,1,"Barber, Miss. Ellen ""Nellie""",26.0,0,0,19877,78.85,147,False,False,True
301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",,0,0,9234,7.75,147,False,True,False
334,0,3,"Vander Planke, Mr. Leo Edmondus",16.0,2,0,345764,18.0,147,True,False,True
209,1,3,"Carr, Miss. Helen ""Ellen""",16.0,0,0,367231,7.75,147,False,True,False
137,1,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,107,False,False,True
138,0,1,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,55,True,False,True
697,0,3,"Kelly, Mr. James",44.0,0,0,363592,8.05,147,True,False,True
486,0,3,"Lefebre, Miss. Jeannie",,3,1,4133,25.4667,147,False,False,True
245,0,3,"Attalah, Mr. Sleiman",30.0,0,0,2694,7.225,147,True,False,False
345,0,2,"Fox, Mr. Stanley Hubert",36.0,0,0,229236,13.0,147,True,False,True
854,1,1,"Lines, Miss. Mary Conover",16.0,0,1,PC 17592,39.4,99,False,False,True
622,1,1,"Kimball, Mr. Edwin Nelson Jr",42.0,1,0,11753,52.5542,95,True,False,True
654,1,3,"O'Leary, Miss. Hanora ""Norah""",,0,0,330919,7.8292,147,False,True,False
887,0,2,"Montvila, Rev. Juozas",27.0,0,0,211536,13.0,147,True,False,True
111,0,1,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,52,True,False,True
295,0,3,"Mineff, Mr. Ivan",24.0,0,0,349233,7.8958,147,True,False,True
448,1,1,"Seward, Mr. Frederic Kimber",34.0,0,0,113794,26.55,147,True,False,True
