Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
7,4.6,3.4,1.4,0.3,Iris-setosa
113,6.8,3.0,5.5,2.1,Iris-virginica
101,6.3,3.3,6.0,2.5,Iris-virginica
3,4.7,3.2,1.3,0.2,Iris-setosa
64,6.1,2.9,4.7,1.4,Iris-versicolor
55,6.5,2.8,4.6,1.5,Iris-versicolor
127,6.2,2.8,4.8,1.8,Iris-virginica
51,7.0,3.2,4.7,1.4,Iris-versicolor
116,6.4,3.2,5.3,2.3,Iris-virginica
47,5.1,3.8,1.6,0.2,Iris-setosa
140,6.9,3.1,5.4,2.1,Iris-virginica
62,5.9,3.0,4.2,1.5,Iris-versicolor
148,6.5,3.0,5.2,2.0,Iris-virginica
80,5.7,2.6,3.5,1.0,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
42,4.5,2.3,1.3,0.3,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
91,5.5,2.6,4.4,1.2,Iris-versicolor
49,5.3,3.7,1.5,0.2,Iris-setosa
89,5.6,3.0,4.1,1.3,Iris-versicolor
108,7.3,2.9,6.3,1.8,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
22,5.1,3.7,1.5,0.4,Iris-setosa
58,4.9,2.4,3.3,1.0,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
130,7.2,3.0,5.8,1.6,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
141,6.7,3.1,5.6,2.4,Iris-virginica
2,4.9,3.0,1.4,0.2,Iris-setosa
53,6.9,3.1,4.9,1.5,Iris-versicolor
131,7.4,2.8,6.1,1.9,Iris-virginica
104,6.3,2.9,5.6,1.8,Iris-virginica
100,5.7,2.8,4.1,1.3,Iris-versicolor
117,6.5,3.0,5.5,1.8,Iris-virginica
88,6.3,2.3,4.4,1.3,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-virginica
150,5.9,3.0,5.1,1.8,Iris-virginica
21,5.4,3.4,1.7,0.2,Iris-setosa
72,6.1,2.8,4.0,1.3,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
15,5.8,4.0,1.2,0.2,Iris-setosa
93,5.8,2.6,4.0,1.2,Iris-versicolor
103,7.1,3.0,5.9,2.1,Iris-virginica
